ID,Food,Score,Block,Model,Prompt
667202328ae5a13b88528a04,Veggie Burger,4,Block 4,Model 1.5,Short
667202328ae5a13b88528a04,Shrimp Scampi,7,Block 7,Model 1.5,Long
667202328ae5a13b88528a04,Pad Thai,8,Block 9,Model 2.1,Long
667202328ae5a13b88528a04,Jambalaya,7,Block 14,Model 2.1,Short
667202328ae5a13b88528a04,Gluten Free Chocolate Cake,9,Block 18,Model 2.1,Short
5a11b458ab721b0001ef8884,Veggie Burger,4,Block 1,Model 2.1,Long
5a11b458ab721b0001ef8884,Shrimp Scampi,5,Block 7,Model 1.5,Long
5a11b458ab721b0001ef8884,Pad Thai,6,Block 9,Model 2.1,Long
5a11b458ab721b0001ef8884,Jambalaya,6,Block 14,Model 2.1,Short
5a11b458ab721b0001ef8884,Gluten Free Chocolate Cake,3,Block 19,Model 1.5,Long
5f2e218175b91d182c90973c,Veggie Burger,6,Block 2,Model 2.1,Short
5f2e218175b91d182c90973c,Shrimp Scampi,8,Block 6,Model 2.1,Short
5f2e218175b91d182c90973c,Pad Thai,10,Block 12,Model 1.5,Short
5f2e218175b91d182c90973c,Jambalaya,10,Block 16,Model 1.5,Short
5f2e218175b91d182c90973c,Gluten Free Chocolate Cake,10,Block 17,Model 2.1,Long
6736c9a111b97af27015f376,Veggie Burger,3,Block 3,Model 1.5,Long
6736c9a111b97af27015f376,Shrimp Scampi,2,Block 6,Model 2.1,Short
6736c9a111b97af27015f376,Pad Thai,5,Block 10,Model 2.1,Short
6736c9a111b97af27015f376,Jambalaya,4,Block 15,Model 1.5,Long
6736c9a111b97af27015f376,Gluten Free Chocolate Cake,6,Block 19,Model 1.5,Long
65ab079fde17d72bca5e774b,Veggie Burger,8,Block 1,Model 2.1,Long
65ab079fde17d72bca5e774b,Shrimp Scampi,4,Block 5,Model 2.1,Long
65ab079fde17d72bca5e774b,Pad Thai,6,Block 12,Model 1.5,Short
65ab079fde17d72bca5e774b,Jambalaya,8,Block 14,Model 2.1,Short
65ab079fde17d72bca5e774b,Gluten Free Chocolate Cake,5,Block 18,Model 2.1,Short
65aa787801bd8193a9eb3b6a,Veggie Burger,8,Block 3,Model 1.5,Long
65aa787801bd8193a9eb3b6a,Shrimp Scampi,5,Block 8,Model 1.5,Short
65aa787801bd8193a9eb3b6a,Pad Thai,5,Block 11,Model 1.5,Long
65aa787801bd8193a9eb3b6a,Jambalaya,6,Block 16,Model 1.5,Short
65aa787801bd8193a9eb3b6a,Gluten Free Chocolate Cake,7,Block 17,Model 2.1,Long
5ed41f324bb0172bad040a7f,Veggie Burger,1,Block 4,Model 1.5,Short
5ed41f324bb0172bad040a7f,Shrimp Scampi,7,Block 8,Model 1.5,Short
5ed41f324bb0172bad040a7f,Pad Thai,0,Block 11,Model 1.5,Long
5ed41f324bb0172bad040a7f,Jambalaya,5,Block 13,Model 2.1,Long
5ed41f324bb0172bad040a7f,Gluten Free Chocolate Cake,6,Block 19,Model 1.5,Long
673865b7250fb650d7342a31,Veggie Burger,7,Block 2,Model 2.1,Short
673865b7250fb650d7342a31,Shrimp Scampi,9,Block 6,Model 2.1,Short
673865b7250fb650d7342a31,Pad Thai,7,Block 11,Model 1.5,Long
673865b7250fb650d7342a31,Jambalaya,10,Block 13,Model 2.1,Long
673865b7250fb650d7342a31,Gluten Free Chocolate Cake,8,Block 17,Model 2.1,Long
60cf34633d5479b0859b4c8c,Veggie Burger,3,Block 2,Model 2.1,Short
60cf34633d5479b0859b4c8c,Shrimp Scampi,3,Block 7,Model 1.5,Long
60cf34633d5479b0859b4c8c,Pad Thai,5,Block 9,Model 2.1,Long
60cf34633d5479b0859b4c8c,Jambalaya,6,Block 16,Model 1.5,Short
60cf34633d5479b0859b4c8c,Gluten Free Chocolate Cake,2,Block 18,Model 2.1,Short
5ff46aea1f2ef9b176451cac,Veggie Burger,6,Block 4,Model 1.5,Short
5ff46aea1f2ef9b176451cac,Shrimp Scampi,7,Block 7,Model 1.5,Long
5ff46aea1f2ef9b176451cac,Pad Thai,4,Block 11,Model 1.5,Long
5ff46aea1f2ef9b176451cac,Jambalaya,6,Block 13,Model 2.1,Long
5ff46aea1f2ef9b176451cac,Gluten Free Chocolate Cake,6,Block 17,Model 2.1,Long
6733941a7e8967d0f6464a36,Veggie Burger,6,Block 3,Model 1.5,Long
6733941a7e8967d0f6464a36,Shrimp Scampi,7,Block 5,Model 2.1,Long
6733941a7e8967d0f6464a36,Pad Thai,10,Block 9,Model 2.1,Long
6733941a7e8967d0f6464a36,Jambalaya,8,Block 13,Model 2.1,Long
6733941a7e8967d0f6464a36,Gluten Free Chocolate Cake,6,Block 20,Model 1.5,Short
6133efe4e9ef54497a4ec20f,Veggie Burger,6,Block 2,Model 2.1,Short
6133efe4e9ef54497a4ec20f,Shrimp Scampi,3,Block 8,Model 1.5,Short
6133efe4e9ef54497a4ec20f,Pad Thai,3,Block 11,Model 1.5,Long
6133efe4e9ef54497a4ec20f,Jambalaya,5,Block 14,Model 2.1,Short
6133efe4e9ef54497a4ec20f,Gluten Free Chocolate Cake,2,Block 18,Model 2.1,Short
65d15e775e7bb21f29613b4d,Veggie Burger,7,Block 1,Model 2.1,Long
65d15e775e7bb21f29613b4d,Shrimp Scampi,8,Block 6,Model 2.1,Short
65d15e775e7bb21f29613b4d,Pad Thai,8,Block 10,Model 2.1,Short
65d15e775e7bb21f29613b4d,Jambalaya,2,Block 15,Model 1.5,Long
65d15e775e7bb21f29613b4d,Gluten Free Chocolate Cake,2,Block 17,Model 2.1,Long
5edd8ec01997aea940962fcf,Veggie Burger,0,Block 2,Model 2.1,Short
5edd8ec01997aea940962fcf,Shrimp Scampi,0,Block 6,Model 2.1,Short
5edd8ec01997aea940962fcf,Pad Thai,3,Block 9,Model 2.1,Long
5edd8ec01997aea940962fcf,Jambalaya,0,Block 15,Model 1.5,Long
5edd8ec01997aea940962fcf,Gluten Free Chocolate Cake,0,Block 17,Model 2.1,Long
6157a84a2098ed994ba48650,Veggie Burger,4,Block 3,Model 1.5,Long
6157a84a2098ed994ba48650,Shrimp Scampi,5,Block 8,Model 1.5,Short
6157a84a2098ed994ba48650,Pad Thai,3,Block 12,Model 1.5,Short
6157a84a2098ed994ba48650,Jambalaya,1,Block 15,Model 1.5,Long
6157a84a2098ed994ba48650,Gluten Free Chocolate Cake,5,Block 18,Model 2.1,Short
66738e0707a6161795851481,Veggie Burger,6,Block 3,Model 1.5,Long
66738e0707a6161795851481,Shrimp Scampi,4,Block 5,Model 2.1,Long
66738e0707a6161795851481,Pad Thai,7,Block 12,Model 1.5,Short
66738e0707a6161795851481,Jambalaya,6,Block 14,Model 2.1,Short
66738e0707a6161795851481,Gluten Free Chocolate Cake,4,Block 17,Model 2.1,Long
662b8602b9b80f6962b730c2,Veggie Burger,6,Block 1,Model 2.1,Long
662b8602b9b80f6962b730c2,Shrimp Scampi,2,Block 5,Model 2.1,Long
662b8602b9b80f6962b730c2,Pad Thai,7,Block 10,Model 2.1,Short
662b8602b9b80f6962b730c2,Jambalaya,4,Block 14,Model 2.1,Short
662b8602b9b80f6962b730c2,Gluten Free Chocolate Cake,2,Block 17,Model 2.1,Long
6738f9555ab112b48d5517fd,Veggie Burger,7,Block 4,Model 1.5,Short
6738f9555ab112b48d5517fd,Shrimp Scampi,4,Block 7,Model 1.5,Long
6738f9555ab112b48d5517fd,Pad Thai,8,Block 11,Model 1.5,Long
6738f9555ab112b48d5517fd,Jambalaya,6,Block 16,Model 1.5,Short
6738f9555ab112b48d5517fd,Gluten Free Chocolate Cake,8,Block 18,Model 2.1,Short
668c0fbc3b3d81aa7425ec04,Veggie Burger,2,Block 3,Model 1.5,Long
668c0fbc3b3d81aa7425ec04,Shrimp Scampi,4,Block 7,Model 1.5,Long
668c0fbc3b3d81aa7425ec04,Pad Thai,4,Block 10,Model 2.1,Short
668c0fbc3b3d81aa7425ec04,Jambalaya,5,Block 16,Model 1.5,Short
668c0fbc3b3d81aa7425ec04,Gluten Free Chocolate Cake,3,Block 17,Model 2.1,Long
647896fae4473728c2db49cb,Veggie Burger,1,Block 4,Model 1.5,Short
647896fae4473728c2db49cb,Shrimp Scampi,6,Block 7,Model 1.5,Long
647896fae4473728c2db49cb,Pad Thai,5,Block 12,Model 1.5,Short
647896fae4473728c2db49cb,Jambalaya,1,Block 14,Model 2.1,Short
647896fae4473728c2db49cb,Gluten Free Chocolate Cake,1,Block 20,Model 1.5,Short
60afdd5660213950ec58af69,Veggie Burger,7,Block 2,Model 2.1,Short
60afdd5660213950ec58af69,Shrimp Scampi,4,Block 5,Model 2.1,Long
60afdd5660213950ec58af69,Pad Thai,9,Block 12,Model 1.5,Short
60afdd5660213950ec58af69,Jambalaya,10,Block 16,Model 1.5,Short
60afdd5660213950ec58af69,Gluten Free Chocolate Cake,9,Block 18,Model 2.1,Short
666322304dec4361a38f902a,Veggie Burger,0,Block 1,Model 2.1,Long
666322304dec4361a38f902a,Shrimp Scampi,0,Block 5,Model 2.1,Long
666322304dec4361a38f902a,Pad Thai,5,Block 9,Model 2.1,Long
666322304dec4361a38f902a,Jambalaya,3,Block 16,Model 1.5,Short
666322304dec4361a38f902a,Gluten Free Chocolate Cake,2,Block 18,Model 2.1,Short
6738f2c1f70085ead39e2699,Veggie Burger,4,Block 1,Model 2.1,Long
6738f2c1f70085ead39e2699,Shrimp Scampi,6,Block 8,Model 1.5,Short
6738f2c1f70085ead39e2699,Pad Thai,5,Block 12,Model 1.5,Short
6738f2c1f70085ead39e2699,Jambalaya,7,Block 16,Model 1.5,Short
6738f2c1f70085ead39e2699,Gluten Free Chocolate Cake,10,Block 18,Model 2.1,Short
666ca9d0c209223644cd956e,Veggie Burger,1,Block 4,Model 1.5,Short
666ca9d0c209223644cd956e,Shrimp Scampi,5,Block 8,Model 1.5,Short
666ca9d0c209223644cd956e,Pad Thai,3,Block 10,Model 2.1,Short
666ca9d0c209223644cd956e,Jambalaya,1,Block 13,Model 2.1,Long
666ca9d0c209223644cd956e,Gluten Free Chocolate Cake,5,Block 19,Model 1.5,Long
5b672fc205753f00016b4c4b,Veggie Burger,4,Block 1,Model 2.1,Long
5b672fc205753f00016b4c4b,Shrimp Scampi,8,Block 7,Model 1.5,Long
5b672fc205753f00016b4c4b,Pad Thai,4,Block 9,Model 2.1,Long
5b672fc205753f00016b4c4b,Jambalaya,2,Block 15,Model 1.5,Long
5b672fc205753f00016b4c4b,Gluten Free Chocolate Cake,4,Block 17,Model 2.1,Long
6571d1826543b8f44b2002bf,Veggie Burger,1,Block 4,Model 1.5,Short
6571d1826543b8f44b2002bf,Shrimp Scampi,5,Block 7,Model 1.5,Long
6571d1826543b8f44b2002bf,Pad Thai,7,Block 11,Model 1.5,Long
6571d1826543b8f44b2002bf,Jambalaya,6,Block 13,Model 2.1,Long
6571d1826543b8f44b2002bf,Gluten Free Chocolate Cake,7,Block 17,Model 2.1,Long
5f1be7d0ae31234123acbfd2,Veggie Burger,6,Block 2,Model 2.1,Short
5f1be7d0ae31234123acbfd2,Shrimp Scampi,8,Block 6,Model 2.1,Short
5f1be7d0ae31234123acbfd2,Pad Thai,10,Block 9,Model 2.1,Long
5f1be7d0ae31234123acbfd2,Jambalaya,4,Block 15,Model 1.5,Long
5f1be7d0ae31234123acbfd2,Gluten Free Chocolate Cake,4,Block 20,Model 1.5,Short
6694154a46060b3c49b2d6fd,Veggie Burger,4,Block 3,Model 1.5,Long
6694154a46060b3c49b2d6fd,Shrimp Scampi,7,Block 8,Model 1.5,Short
